,Year,Month,Days,DayOfWeek,IsWeekend,IsHoliday,Nights,Type,RateCode,TrackCode,Occupied,ADR,Rate
163,2022,12,22,3,0,0,1,3,0,3,75,80.09,90.0
164,2021,8,12,3,0,0,2,3,24,0,100,86.3,70.0
165,2021,6,26,5,1,0,5,2,25,0,100,114.39,70.0
166,2021,9,9,3,0,0,1,6,5,0,99,88.2,65.0
167,2022,8,28,6,1,0,20,7,3,0,88,79.88,70.0
168,2022,4,13,2,0,0,1,6,64,1,100,84.24,94.05
169,2022,9,27,1,0,0,1,2,103,1,100,83.68,85.0
170,2022,6,29,2,0,0,1,1,4,0,100,88.57,70.0
171,2022,5,6,4,0,0,1,5,25,1,100,135.53,70.0
172,2022,12,5,0,0,0,1,3,0,1,100,100.87,119.9
173,2021,5,9,6,1,0,5,3,25,0,81,73.02,70.0
174,2022,1,12,2,0,0,4,2,104,3,94,78.84,104.1
175,2021,2,15,0,0,1,2,6,25,0,93,69.71,70.0
176,2022,4,29,4,0,0,2,5,56,1,100,150.9,162.71
177,2022,10,9,6,1,0,1,2,64,1,100,79.53,90.25
178,2022,3,15,1,0,0,1,2,64,3,93,77.62,90.25
179,2021,4,17,5,1,0,1,7,5,0,100,119.59,65.0
180,2022,5,2,0,0,0,1,2,0,4,85,81.53,90.0
181,2022,10,15,5,1,0,1,5,24,1,100,135.68,70.0
182,2022,7,10,6,1,0,5,3,25,0,97,102.02,70.0
183,2022,11,22,1,0,0,1,5,106,0,80,84.32,108.3
184,2022,7,9,5,1,0,1,2,48,1,100,157.86,155.73
185,2022,7,29,4,0,0,1,2,24,0,100,144.11,70.0
186,2022,9,18,6,1,0,1,3,78,1,76,81.88,85.5
187,2022,10,29,5,1,0,1,2,50,0,100,173.64,224.1
188,2022,12,12,0,0,0,1,2,59,3,85,84.8,96.89
189,2022,5,13,4,0,0,2,5,72,1,100,115.42,139.92
190,2022,9,22,3,0,0,4,6,64,1,99,96.31,118.97
191,2022,11,11,4,0,0,1,2,24,0,100,137.21,70.0
192,2022,3,10,3,0,0,1,5,103,1,100,104.51,85.0
