,Month,week_number,DayOfWeek,IsWeekend,IsHoliday,Nights,Type,RateCode,TrackCode,Occupied,ADR,Rate
230,1,3,6,1,0,1,5,64,1,61,76.0,106
231,1,5,0,0,0,1,3,58,1,85,74.37,85
232,1,5,2,0,0,1,3,58,3,96,75.92,104
233,1,3,3,0,0,1,5,24,0,98,91.08,70
234,1,3,3,0,0,3,3,1,1,98,91.08,125
235,1,5,1,0,0,1,6,103,1,93,75.62,85
236,1,3,6,1,0,1,2,9,3,61,76.0,93
237,1,5,2,0,0,1,6,49,1,96,75.92,82
238,1,3,1,0,0,1,2,28,1,96,76.55,68
239,1,4,4,0,0,1,3,0,1,91,89.82,109
240,1,5,5,1,0,1,2,0,0,100,122.01,169
241,1,2,0,0,0,1,3,20,0,93,73.59,55
242,1,3,4,0,0,1,2,104,1,100,107.54,119
243,1,1,5,1,0,1,3,0,0,79,92.58,90
244,1,4,0,0,0,1,3,0,1,94,77.55,80
245,1,5,2,0,0,1,3,49,3,96,75.92,72
246,1,5,1,0,0,1,2,0,4,93,75.62,85
247,1,2,1,0,0,1,2,64,1,91,75.58,85
248,1,5,4,0,0,1,4,0,1,100,121.52,129
249,1,5,4,0,0,1,2,3,0,100,121.52,70
250,1,4,3,0,0,3,2,64,3,100,89.22,110
251,1,5,3,0,0,1,2,18,1,99,87.29,67
252,1,4,2,0,0,2,2,0,1,96,77.41,102
253,1,5,1,0,0,1,7,64,3,93,75.62,108
254,1,4,6,1,0,1,2,0,0,99,83.51,113
255,1,5,0,0,0,1,7,64,1,85,74.37,90
256,1,3,6,1,0,5,2,3,0,61,76.0,70
257,1,6,6,1,0,5,3,25,0,63,76.11,70
258,1,4,6,1,0,1,3,64,3,99,83.51,94
259,1,2,6,1,0,1,3,0,1,88,79.73,99
260,1,5,2,0,0,1,6,6,0,96,75.92,65
261,1,3,0,0,0,1,2,68,0,82,72.59,40
262,1,3,6,1,0,1,3,28,1,61,76.0,60
263,1,5,2,0,0,1,0,20,1,96,75.92,55
264,1,3,4,0,0,1,3,25,0,100,107.54,70
265,1,6,6,1,0,1,3,20,1,63,76.11,52
266,1,5,1,0,0,1,6,64,1,93,75.62,108
267,1,5,1,0,0,1,2,24,0,93,75.62,70
268,1,3,4,0,0,1,2,64,0,100,107.54,115
269,1,3,0,0,0,3,3,104,0,82,72.59,80
270,1,5,6,1,0,1,3,78,3,78,76.06,67
271,1,2,0,0,0,3,5,3,1,93,73.59,70
272,1,3,4,0,0,1,2,0,0,100,107.54,119
273,1,3,1,0,0,1,2,0,1,96,76.55,99
274,1,3,0,0,0,2,3,0,0,82,72.59,80
275,1,5,5,1,0,1,2,58,1,100,122.01,139
276,1,3,6,1,0,5,2,19,0,61,76.0,70
277,1,5,2,0,0,3,3,58,1,96,75.92,99
278,1,4,3,0,0,2,2,58,3,100,89.22,106
279,1,3,0,0,0,2,2,103,1,82,72.59,85
280,1,5,1,0,0,1,2,20,1,93,75.62,55
281,1,3,3,0,0,2,3,24,0,98,91.08,70
282,1,6,6,1,0,3,3,25,0,63,76.11,70
283,1,2,6,1,0,1,3,0,1,88,79.73,89
284,1,3,4,0,0,2,2,64,3,100,107.54,135
285,1,2,4,0,0,1,2,0,4,86,108.62,104
286,1,3,6,1,0,1,2,0,1,61,76.0,99
287,1,6,6,1,0,5,3,3,0,63,76.11,70
288,1,4,1,0,0,1,7,64,0,98,76.0,85
289,1,4,6,1,0,1,7,0,0,99,83.51,118
290,1,5,5,1,0,1,2,0,1,100,122.01,109
291,1,5,1,0,0,1,3,58,1,93,75.62,92
292,1,2,0,0,0,1,2,106,1,93,73.59,81
293,1,6,0,0,0,1,6,64,1,100,78.06,86
294,1,3,1,0,0,1,2,20,3,96,76.55,58
295,1,5,5,1,0,1,1,18,1,100,122.01,89
296,1,1,5,1,0,2,3,4,0,79,92.58,70
297,1,2,6,1,0,1,7,64,1,88,79.73,99
298,1,3,3,0,0,3,7,15,1,98,91.08,70
299,1,4,3,0,0,1,2,48,1,100,89.22,98
300,1,4,5,1,0,1,3,18,1,100,120.28,113
301,1,3,4,0,0,5,2,78,3,100,107.54,89
302,1,3,4,0,0,1,5,25,0,100,107.54,70
303,1,3,5,1,0,1,3,4,0,100,111.28,70
304,1,2,0,0,0,4,3,4,0,93,73.59,70
305,1,4,2,0,0,1,3,18,1,96,77.41,69
306,1,5,2,0,0,1,7,64,1,96,75.92,89
307,1,4,6,1,0,5,5,14,0,99,83.51,70
308,1,2,4,0,0,1,3,43,1,86,108.62,140
309,1,5,1,0,0,3,3,103,1,93,75.62,85
310,1,5,4,0,0,1,0,64,1,100,121.52,115
311,1,2,0,0,0,1,3,20,1,93,73.59,55
312,1,3,5,1,0,1,1,64,0,100,111.28,135
313,1,4,6,1,0,1,6,0,0,99,83.51,118
314,1,5,5,1,0,1,3,104,1,100,122.01,139
315,1,1,5,1,0,1,5,58,1,79,92.58,90
316,1,2,1,0,0,1,6,103,1,91,75.58,85
317,1,6,6,1,0,5,3,3,0,63,76.11,70
318,1,5,5,1,0,1,5,58,1,100,122.01,129
319,1,4,2,0,0,1,7,64,1,96,77.41,87
320,1,5,6,1,0,5,3,25,0,78,76.06,70
321,1,6,0,0,0,2,2,0,0,100,78.06,109
322,1,4,1,0,0,1,6,64,1,98,76.0,90
323,1,6,6,1,0,1,5,103,1,63,76.11,85
324,1,3,0,0,0,3,2,64,0,82,72.59,94
325,1,5,6,1,0,5,3,3,0,78,76.06,70
326,1,4,6,1,0,1,4,41,3,99,83.51,114
327,1,4,6,1,0,1,1,64,3,99,83.51,94
328,1,3,0,0,0,3,6,6,0,82,72.59,65
329,1,3,4,0,0,1,5,0,4,100,107.54,129
330,1,3,1,0,0,1,2,64,3,96,76.55,85
331,1,6,6,1,0,1,2,0,1,63,76.11,90
332,1,2,6,1,0,1,1,78,3,88,79.73,67
333,1,5,6,1,0,5,6,25,0,78,76.06,70
334,1,2,0,0,0,1,3,0,1,93,73.59,89
335,1,2,1,0,0,1,3,104,1,91,75.58,92
336,1,2,1,0,0,1,3,5,0,91,75.58,65
337,1,4,6,1,0,5,3,3,0,99,83.51,70
338,1,2,5,1,0,1,3,1,1,100,108.21,89
339,1,1,5,1,0,1,7,76,0,79,92.58,110
340,1,2,3,0,0,1,3,18,1,84,76.19,67
341,1,5,2,0,0,2,2,3,0,96,75.92,70
342,1,5,2,0,0,1,3,9,1,96,75.92,71
343,1,4,4,0,0,1,2,0,1,91,89.82,89
344,1,3,0,0,0,2,2,0,0,82,72.59,90
345,1,6,0,0,0,1,2,58,3,100,78.06,99
346,1,5,5,1,0,1,3,1,1,100,122.01,129
347,1,5,3,0,0,1,2,25,0,99,87.29,70
348,1,6,0,0,0,1,6,5,1,100,78.06,65
349,1,5,5,1,0,1,3,107,3,100,122.01,111
350,1,5,6,1,0,1,5,107,3,78,76.06,83
351,1,3,5,1,0,1,3,1,1,100,111.28,129
352,1,4,0,0,0,1,3,64,3,94,77.55,93
353,1,5,1,0,0,1,2,5,0,93,75.62,65
354,1,5,4,0,0,1,2,64,3,100,121.52,145
355,1,6,0,0,0,1,3,64,3,100,78.06,85
356,1,5,5,1,0,1,3,0,1,100,122.01,119
357,1,4,3,0,0,1,3,49,1,100,89.22,77
358,1,2,4,0,0,1,1,58,1,86,108.62,85
359,1,5,4,0,0,1,3,1,1,100,121.52,119
360,1,4,0,0,0,4,4,48,1,94,77.55,101
361,1,2,5,1,0,1,2,0,1,100,108.21,99
362,1,2,5,1,0,1,2,18,0,100,108.21,105
363,1,2,4,0,0,1,2,72,1,86,108.62,92
364,1,3,5,1,0,1,6,0,4,100,111.28,129
365,1,4,5,1,0,1,3,1,1,100,120.28,125
366,1,5,5,1,0,1,6,58,1,100,122.01,139
367,1,6,6,1,0,5,2,25,0,63,76.11,70
368,1,5,6,1,0,5,5,25,0,78,76.06,70
369,1,3,5,1,0,1,4,103,0,100,111.28,85
370,1,2,0,0,0,4,3,0,0,93,73.59,70
371,1,3,1,0,0,1,3,64,3,96,76.55,85
372,1,4,5,1,0,1,5,61,3,100,120.28,128
373,1,4,0,0,0,1,3,64,1,94,77.55,93
374,1,3,3,0,0,1,2,5,1,98,91.08,65
375,1,5,6,1,0,1,3,72,1,78,76.06,78
376,1,2,3,0,0,1,3,0,1,84,76.19,85
377,1,5,4,0,0,1,3,0,1,100,121.52,109
378,1,4,2,0,0,1,7,64,1,96,77.41,87
379,1,3,6,1,0,1,3,58,1,61,76.0,80
380,1,5,6,1,0,1,5,72,1,78,76.06,75
381,1,5,5,1,0,1,6,48,1,100,122.01,137
382,1,4,4,0,0,2,2,58,3,91,89.82,89
383,1,2,0,0,0,1,5,28,1,93,73.59,74
384,1,6,0,0,0,1,3,20,1,100,78.06,64
385,1,5,3,0,0,1,2,68,3,99,87.29,40
386,1,3,5,1,0,1,5,0,0,100,111.28,129
387,1,4,5,1,0,1,2,1,1,100,120.28,137
388,1,5,1,0,0,3,3,64,1,93,75.62,94
389,1,2,3,0,0,1,2,64,1,84,76.19,85
390,1,5,5,1,0,1,3,0,1,100,122.01,119
391,1,5,5,1,0,1,0,64,3,100,122.01,135
392,1,3,2,0,0,1,2,0,1,94,78.84,85
393,1,5,1,0,0,3,2,64,1,93,75.62,104
394,1,3,3,0,0,3,3,0,1,98,91.08,70
395,1,4,6,1,0,5,3,26,0,99,83.51,70
396,1,2,2,0,0,1,6,72,1,82,73.67,94
397,1,5,1,0,0,1,7,107,1,93,75.62,76
398,1,2,2,0,0,1,1,0,1,82,73.67,95
399,1,2,5,1,0,6,6,24,0,100,108.21,70
400,1,4,5,1,0,1,3,3,0,100,120.28,70
401,1,3,2,0,0,3,3,24,0,94,78.84,70
402,1,4,5,1,0,1,2,0,1,100,120.28,153
